subnum,direction,type,trialnum,order,trialstart,itemstart,itemend,abstime,rt,posx,posy
39,1,P,-1,1,10107,19134,9027,9027,1,632,495
39,1,P,-1,2,10107,20653,10546,1261,3,782,390
39,1,P,-1,3,10107,26425,16318,5514,5,662,300
39,1,P,-2,1,33416,36955,3539,3539,2,332,465
39,1,P,-2,2,33416,38197,4781,983,4,452,360
39,1,P,-2,3,33416,39309,5893,853,8,467,90
39,1,P,-3,1,46256,51507,5251,5251,6,827,210
39,1,P,-3,2,46256,52959,6703,1194,7,287,180
39,1,P,-3,3,46256,54025,7769,808,9,647,120
39,1,T,1,1,61181,65356,4175,4175,8,467,90
39,1,T,1,2,61181,66259,5078,645,5,662,300
39,1,T,2,1,72075,74965,2890,2890,6,827,210
39,1,T,2,2,72075,75695,3620,471,4,452,360
39,1,T,3,1,82549,85032,2483,2483,4,452,360
39,1,T,3,2,82549,85715,3166,425,7,287,180
39,1,T,3,3,82549,86404,3855,431,2,332,465
39,1,T,4,1,93265,96010,2745,2744,8,467,90
39,1,T,4,2,93265,97183,3918,915,1,632,495
39,1,T,4,3,93265,97841,4576,399,5,662,300
39,1,T,5,1,105567,110038,4471,4471,3,782,390
39,1,T,5,2,105567,112694,7127,2398,7,287,180
39,1,T,5,3,105567,114356,8789,1404,1,632,495
39,1,T,5,4,105567,115201,9634,587,4,452,360
39,1,T,6,1,123092,127783,4691,4691,6,827,210
39,1,T,6,2,123092,132457,9365,4416,1,632,495
39,1,T,6,3,123092,134893,11801,2178,8,467,90
