subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
83,1,P,-1,9194,3,135,135,3,0,1,6298
83,1,P,-2,21036,3,248,248,3,0,1,5955
83,1,P,-3,32541,3,679,679,3,0,1,16537
83,1,T,1,54967,2,85,85,2,0,1,3943
83,1,T,2,63455,2,64,64,2,0,1,4614
83,1,T,3,73624,3,472,472,3,0,1,4759
83,1,T,4,83929,3,815,815,3,0,1,4136
83,1,T,5,94625,4,3417,3417,4,0,1,5520
83,1,T,6,106704,4,6158,6518,2,2,0,6050
83,1,T,7,120320,5,52186,52186,5,0,1,6229
83,1,T,8,134115,5,42731,47231,3,2,0,7286
83,1,T,9,149972,6,392487,394287,4,2,0,7782
83,1,T,10,166323,6,378294,37379824,3,5,0,23671
