ID,dsp1,dsp2,dsp3,dsp4,dsp5,dsp6,LT1,LT2,LT3,LT4,LT5,LT6,LT7,LT8,LT9,LT10,LT11,LT12,LT13,LT14,LT15,LT16,LT17,LT18,LT19,LT20
102,omuzenga,omuzenga,otjomuru,not yet togther,,,4,1,4,2,4,4,4,1,4,4,4,4,4,2,4,4,2,4,2,4
103,,,,,,,1,1,1,1,1,3,1,1,1,1,2,3,1,1,3,1,1,1,1,3
104,,,,,,,2,1,4,1,1,1,1,1,4,4,4,2,1,1,3,1,4,1,1,1
105,,,,,,,1,1,4,1,4,4,2,1,4,4,4,4,4,1,4,4,4,2,1,4
106,otjomuru,otjomuru,otjomuru,still different ompounds,,,1,1,2,2,1,3,1,1,2,4,4,3,2,1,4,1,2,1,1,2
107,,,,,,,1,1,4,1,4,4,1,1,4,4,3,4,4,1,4,4,4,4,4,4
108,,,,,,,1,1,1,1,1,2,1,1,1,2,1,4,1,1,4,1,1,1,1,4
109,,,,,,,1,1,1,1,1,2,1,1,1,1,1,3,1,1,4,1,1,1,1,3
110,oroundje,oroundje,okodombora,still different ompounds,,,1,1,4,1,1,3,1,1,4,4,2,4,1,1,4,1,4,1,1,4
111,ohamaremba (both quite old at the time),ohamaremba,ohamaremba,,,,4,4,2,2,4,4,2,4,3,2,2,4,4,4,4,4,1,4,1,4
112,,,,,,,1,1,1,1,3,2,2,1,1,4,3,4,1,1,4,1,1,2,1,4
113,,,,,,,2,4,4,2,4,4,2,1,4,4,4,4,4,1,4,4,1,4,2,4
114,,,,,,,1,1,1,1,1,1,1,1,1,2,1,4,3,1,4,4,1,4,2,1
115,,,,,,,3,1,2,1,4,4,1,1,1,3,3,4,2,1,4,2,1,2,1,4
116,,,,,,,2,1,1,1,4,4,1,2,1,1,2,4,1,1,4,1,1,1,1,4
117,,,,,,,1,1,1,1,3,2,1,2,1,1,1,1,1,1,4,1,1,1,1,4
118,,,,,,,1,1,1,1,1,4,1,1,1,1,1,2,1,1,4,1,1,1,1,4
119,,,,,,,3,2,2,2,4,4,3,4,1,4,4,4,4,1,4,4,3,4,2,4
120,,,,,,,2,1,4,3,4,4,3,1,4,4,4,4,4,1,4,4,3,4,3,4
121,,,,,,,1,1,1,1,1,4,1,1,1,1,1,1,1,1,4,1,1,1,1,4
122,,,,,,,1,1,2,1,4,4,1,1,1,2,4,4,1,1,4,1,1,1,1,4
123,,,,,,,1,2,1,1,4,4,2,1,1,4,3,4,1,1,4,1,1,1,1,4
124,,,,,,,1,1,1,1,4,2,1,1,1,1,3,4,1,1,4,1,1,1,1,4
125,,,,,,,1,1,1,1,4,4,4,1,1,2,3,4,1,1,4,1,1,2,1,4
126,,,,,,,1,1,1,1,4,4,1,1,1,1,2,4,1,1,4,1,1,1,1,4
127,,,,,,,1,1,1,1,1,2,1,1,1,1,1,2,1,1,4,1,1,1,1,4
128,,,,,,,1,1,2,1,2,4,2,1,2,4,4,4,4,1,4,4,4,4,1,4
129,,,,,,,1,1,4,1,1,4,1,1,4,4,4,4,4,1,4,4,4,2,2,4
