subnum,direction,type,trialnum,order,trialstart,itemstart,itemend,abstime,rt,posx,posy
100,1,P,-1,1,16201,19617,3416,3416,1,632,495
100,1,P,-1,2,16201,27977,11776,8102,3,782,390
100,1,P,-1,3,16201,30125,13924,1889,5,662,300
100,1,P,-2,1,46091,48986,2895,2895,2,332,465
100,1,P,-2,2,46091,50668,4577,1424,4,452,360
100,1,P,-2,3,46091,53168,7077,2243,8,467,90
100,1,P,-3,1,60063,66673,6610,6610,6,827,210
100,1,P,-3,2,60063,68867,8804,1935,7,287,180
100,1,P,-3,3,60063,71082,11019,1956,9,647,120
100,1,T,1,1,85380,94083,8703,8703,8,467,90
100,1,T,1,2,85380,95943,10563,1603,5,662,300
100,1,T,2,1,103140,108153,5013,5013,6,827,210
100,1,T,2,2,103140,109566,6426,1156,4,452,360
100,1,T,2,3,103140,109936,6796,112,4,452,360
100,1,T,3,1,118266,120627,2361,2361,4,452,360
100,1,T,3,2,118266,122053,3787,1167,7,287,180
100,1,T,3,3,118266,124875,6609,2563,2,332,465
100,1,T,4,1,131528,135603,4075,4075,8,467,90
100,1,T,4,2,131528,136933,5405,1074,1,632,495
100,1,T,4,3,131528,138294,6766,1103,5,662,300
100,1,T,5,1,146026,148513,2487,2487,3,782,390
100,1,T,5,2,146026,150865,4839,2096,5,662,300
100,1,T,5,3,146026,152201,6175,1078,4,452,360
100,1,T,5,4,146026,153438,7412,979,1,632,495
100,1,T,5,5,146026,154518,8492,822,7,287,180
100,1,T,6,1,162247,164076,1829,1829,6,827,210
100,1,T,6,2,162247,165347,3100,1013,5,662,300
100,1,T,6,3,162247,166284,4037,679,1,632,495
100,1,T,6,4,162247,167199,4952,657,8,467,90
