subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
88,1,P,-1,12473,3,135,135,3,0,1,7637
88,1,P,-2,25661,3,248,248,3,0,1,8139
88,1,P,-3,39349,3,679,679,3,0,1,5782
88,1,T,1,51796,2,85,85,2,0,1,4515
88,1,T,2,60853,2,64,64,2,0,1,3784
88,1,T,3,70191,3,472,472,3,0,1,4468
88,1,T,4,80212,3,815,815,3,0,1,4174
88,1,T,5,90946,4,3417,3417,4,0,1,5657
88,1,T,6,103166,4,6158,6158,4,0,1,7238
88,1,T,7,117965,5,52186,52186,5,0,1,7853
88,1,T,8,133381,5,42731,4273,4,1,0,12879
88,1,T,9,154825,6,392487,,0,6,0,13354
88,1,T,10,176750,6,378294,,0,6,0,25548
