subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
114,1,P,-1,11844,3,135,3,0,3,0,46886
114,1,P,-2,64278,3,248,248,3,0,1,14347
114,1,P,-3,84176,3,679,679,3,0,1,8456
114,1,T,1,98697,2,85,85,2,0,1,5169
114,1,T,2,108415,2,64,64,2,0,1,6524
114,1,T,3,120497,3,472,472,3,0,1,5734
114,1,T,4,131782,3,815,85,1,2,0,9081
114,1,T,5,147423,4,3417,3417,4,0,1,7947
114,1,T,6,161928,4,6158,6158,4,0,1,8952
114,1,T,7,178446,5,52186,52186,5,0,1,18305
114,1,T,8,204314,5,42731,42716,3,2,0,25583
114,1,T,9,238466,6,392487,9327,1,5,0,19987
114,1,T,10,267026,6,378294,37842,3,3,0,13025
