subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
113,1,P,-1,9910,3,135,15,1,2,0,19074
113,1,P,-2,34533,3,248,248,3,0,1,11645
113,1,P,-3,51727,3,679,679,3,0,1,7507
113,1,T,1,64977,2,85,85,2,0,1,9082
113,1,T,2,78605,2,64,64,2,0,1,7057
113,1,T,3,91213,3,472,472,3,0,1,6692
113,1,T,4,103461,3,815,815,3,0,1,7440
113,1,T,5,117455,4,3417,3417,4,0,1,7029
113,1,T,6,131041,4,6158,6518,2,2,0,13870
113,1,T,7,152473,5,52186,51286,3,2,0,17977
113,1,T,8,178012,5,42731,247863,1,5,0,22151
