subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
123,1,P,-1,68250,3,135,135,3,0,1,4498
123,1,P,-2,78298,3,248,248,3,0,1,4896
123,1,P,-3,88742,3,679,679,3,0,1,4471
123,1,T,1,103211,2,85,85,2,0,1,3757
123,1,T,2,111515,2,64,64,2,0,1,3938
123,1,T,3,121004,3,472,472,3,0,1,4411
123,1,T,4,130971,3,815,815,3,0,1,4806
123,1,T,5,142337,4,3417,3417,4,0,1,5145
123,1,T,6,154043,4,6158,6157,3,1,0,6591
123,1,T,7,168195,5,52186,1286,1,4,0,6596
123,1,T,8,182357,5,42731,42731,5,0,1,6831
123,1,T,9,197760,6,392487,391428,3,3,0,9700
123,1,T,10,216026,6,378294,32479,2,4,0,7857
