subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
86,1,P,-1,9930,3,135,135,3,0,1,15201
86,1,P,-2,30719,3,248,24,2,1,0,14414
86,1,P,-3,50675,3,679,7897789,1,6,0,35774
86,1,T,1,91960,2,85,85,2,0,1,9168
86,1,T,2,105675,2,64,64,2,0,1,16043
86,1,T,3,127271,3,472,472,3,0,1,8474
86,1,T,4,141296,3,815,421,0,3,0,20688
86,1,T,5,168541,4,3417,3417,4,0,1,10515
86,1,T,6,185609,4,6158,54789,1,4,0,18422
86,1,T,7,211596,5,52186,47896315,1,7,0,30001
86,1,T,8,249156,5,42731,42789,3,2,0,19946
