subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
128,1,P,-1,9335,3,135,5,0,3,0,26563
128,1,P,-2,41449,3,248,1247,0,4,0,23679
128,1,P,-3,70680,3,679,1463958,0,7,0,25513
128,1,T,1,101450,2,85,85,2,0,1,5734
128,1,T,2,111732,2,64,64,2,0,1,3718
128,1,T,3,121003,3,472,472,3,0,1,5676
128,1,T,4,132230,3,815,851,1,2,0,5739
128,1,T,5,144526,4,3417,3417,4,0,1,7177
128,1,T,6,158262,4,6158,6518,2,2,0,6917
128,1,T,7,172744,5,52186,52186,5,0,1,9239
128,1,T,8,189548,5,42731,47213,1,4,0,9315
128,1,T,9,207429,6,392487,39427,2,4,0,9386
128,1,T,10,225381,6,378294,38724,2,4,0,9090
