ID,PC_note,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
6,,-69,-96,28,12,12,94,24,38,1,16,32,-177
68,,-86,-143,55,165,-99,45,7,30,0,44,3,-180
120,,-88,0,45,1,-114,0,5,59,32,0,14,0
110,,-90,-180,66,116,-76,-139,13,31,13,4,12,21
4,stuck in ego,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,could not even give correct response after being shown correct response,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,blind,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,too scared of cheetah to participate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"Did not understand perspective task, was able to show on own body how to point but couldn't translate to compass",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,did not understand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,could not understand ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,could not understand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,could not understand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,could not understand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,doesn't understand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,doesn't understand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,does not understand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,does not understand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,doesn't understand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,does not understand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,does not understand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
