subnum,direction,type,trialnum,order,trialstart,itemstart,itemend,abstime,rt,posx,posy
25,1,P,-1,1,8421,13017,4596,4596,1,632,495
25,1,P,-1,2,8421,18058,9637,4783,3,782,390
25,1,P,-1,3,8421,22538,14117,4221,5,662,300
25,1,P,-2,1,31069,34296,3227,3227,2,332,465
25,1,P,-2,2,31069,37721,6652,3166,4,452,360
25,1,P,-2,3,31069,42529,11460,4551,8,467,90
25,1,P,-3,1,50047,59804,9757,9757,9,647,120
25,1,P,-3,2,50047,65490,15443,5427,4,452,360
25,1,P,-3,3,50047,69428,19381,3680,7,287,180
25,1,T,1,1,80101,85026,4925,4925,5,662,300
25,1,T,1,2,80101,88041,7940,2757,8,467,90
25,1,T,2,1,105607,113173,7566,7566,4,452,360
