subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
43,1,P,-1,10285,3,135,351,0,3,0,16626
43,1,P,-2,32457,3,248,248,3,0,1,13446
43,1,P,-3,51453,3,679,,0,3,0,9187
43,1,T,1,68242,2,85,85,2,0,1,6724
43,1,T,2,79513,2,64,64,2,0,1,7355
43,1,T,3,92423,3,472,472,3,0,1,7468
43,1,T,4,105442,3,815,815,3,0,1,7385
43,1,T,5,119387,4,3417,3417,4,0,1,8920
43,1,T,6,134863,4,6158,6158,4,0,1,9727
43,1,T,7,152153,5,52186,2186,0,5,0,12163
43,1,T,8,171883,5,42731,42731,5,0,1,13487
43,1,T,9,193938,6,392487,394287,4,2,0,15350
43,1,T,10,217858,6,378294,37829,5,1,0,13991
