subnum,direction,type,trialnum,order,trialstart,itemstart,itemend,abstime,rt,posx,posy
43,1,P,-1,1,11842,22718,10876,10876,1,632,495
43,1,P,-1,2,11842,25682,13840,2706,3,782,390
43,1,P,-1,3,11842,27779,15937,1839,5,662,300
43,1,P,-2,1,35284,38062,2778,2778,2,332,465
43,1,P,-2,2,35284,39953,4669,1633,4,452,360
43,1,P,-2,3,35284,41397,6113,1186,8,467,90
43,1,P,-3,1,48792,51467,2675,2675,6,827,210
43,1,P,-3,2,48792,53825,5033,2100,7,287,180
43,1,P,-3,3,48792,55230,6438,1147,9,647,120
43,1,T,1,1,63603,65790,2187,2187,8,467,90
43,1,T,1,2,63603,67126,3523,1077,5,662,300
43,1,T,2,1,73162,75168,2006,2006,6,827,210
43,1,T,2,2,73162,76577,3415,1151,4,452,360
43,1,T,3,1,83403,86928,3525,3525,4,452,360
43,1,T,3,2,83403,88435,5032,1247,7,287,180
43,1,T,3,3,83403,89667,6264,974,2,332,465
43,1,T,4,1,96595,98352,1757,1757,8,467,90
43,1,T,4,2,96595,99488,2893,878,1,632,495
43,1,T,4,3,96595,100477,3882,731,5,662,300
43,1,T,5,1,108534,110649,2115,2115,3,782,390
43,1,T,5,2,108534,111831,3297,923,4,452,360
43,1,T,5,3,108534,112897,4363,807,1,632,495
43,1,T,5,4,108534,119155,10621,6000,5,662,300
43,1,T,5,5,108534,120357,11823,944,7,287,180
43,1,T,6,1,128552,130232,1680,1680,6,827,210
43,1,T,6,2,128552,131356,2804,866,5,662,300
43,1,T,6,3,128552,132544,3992,929,1,632,495
43,1,T,6,4,128552,133454,4902,652,8,467,90
