subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
110,1,P,-1,8484,3,135,135,3,0,1,18046
110,1,P,-2,32079,3,248,248,3,0,1,3992
110,1,P,-3,41621,3,679,697,1,2,0,28057
110,1,T,1,75269,2,85,85,2,0,1,4128
110,1,T,2,83946,2,64,64,2,0,1,5995
110,1,T,3,95497,3,472,472,3,0,1,7435
110,1,T,4,108486,3,815,815,3,0,1,5327
110,1,T,5,120370,4,3417,3147,2,2,0,7476
110,1,T,6,134404,4,6158,6158,4,0,1,7124
110,1,T,7,149091,5,52186,51286,3,2,0,8919
110,1,T,8,165575,5,42731,24785,1,4,0,13087
