subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
36,1,P,-1,11493,3,135,135,3,0,1,10326
36,1,P,-2,27366,3,248,248,3,0,1,7977
36,1,P,-3,40894,3,679,679,3,0,1,5647
36,1,T,1,52210,2,85,85,2,0,1,4182
36,1,T,2,60939,2,64,64,2,0,1,4968
36,1,T,3,71460,3,472,472,3,0,1,5790
36,1,T,4,82805,3,815,815,3,0,1,6854
36,1,T,5,96218,4,3417,3417,4,0,1,6317
36,1,T,6,109095,4,6158,6158,4,0,1,7174
36,1,T,7,123832,5,52186,52186,5,0,1,9783
36,1,T,8,141176,5,42731,42715,3,2,0,16984
36,1,T,9,166728,6,392487,34927,1,5,0,14339
36,1,T,10,189633,6,378294,372948,2,4,0,19635
