subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
97,1,P,-1,9641,3,135,135,3,0,1,17068
97,1,P,-2,32252,3,248,248,3,0,1,22520
97,1,P,-3,60314,3,679,679,3,0,1,6369
97,1,T,1,72422,2,85,85,2,0,1,5711
97,1,T,2,82669,2,64,64,2,0,1,3940
97,1,T,3,92146,3,472,472,3,0,1,4905
97,1,T,4,102595,3,815,851,1,2,0,6378
97,1,T,5,115530,4,3417,3417,4,0,1,8895
97,1,T,6,130973,4,6158,6158,4,0,1,7453
97,1,T,7,145974,5,52186,5286,2,3,0,18544
97,1,T,8,172075,5,42731,42731,5,0,1,12745
97,1,T,9,193386,6,392487,39427,2,4,0,26906
97,1,T,10,228838,6,378294,37892,3,3,0,7631
