subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
72,1,P,-1,11691,3,135,135,3,0,1,4811
72,1,P,-2,22053,3,248,248,3,0,1,6049
72,1,P,-3,33651,3,679,679,3,0,1,7707
72,1,T,1,47386,2,85,85,2,0,1,5223
72,1,T,2,57155,2,64,64,2,0,1,4960
72,1,T,3,67667,3,472,472,3,0,1,6213
72,1,T,4,79436,3,815,815,3,0,1,6478
72,1,T,5,92473,4,3417,3417,4,0,1,7718
72,1,T,6,106752,4,6158,6158,4,0,1,8618
72,1,T,7,122933,5,52186,65286,2,3,0,16318
72,1,T,8,146813,5,42731,42731,5,0,1,15676
72,1,T,9,171059,6,392487,354283,2,4,0,35700
72,1,T,10,215328,6,378294,37929,4,2,0,30102
