subnum,direction,type,trialnum,order,trialstart,itemstart,itemend,abstime,rt,posx,posy
89,1,P,-1,1,13140,17837,4697,4697,1,632,495
89,1,P,-1,2,13140,18207,5067,112,3,782,390
89,1,P,-1,3,13140,18700,5560,235,5,662,300
89,1,P,-2,1,24974,28271,3297,3297,2,332,465
89,1,P,-2,2,24974,28624,3650,94,4,452,360
89,1,P,-2,3,24974,29209,4235,327,8,467,90
89,1,P,-3,1,35593,38751,3158,3158,6,827,210
89,1,P,-3,2,35593,39235,3642,227,7,287,180
89,1,P,-3,3,35593,39787,4194,294,9,647,120
89,1,T,1,1,46280,48721,2441,2441,8,467,90
89,1,T,1,2,46280,50187,3907,1210,5,662,300
89,1,T,2,1,55459,58010,2551,2551,6,827,210
89,1,T,2,2,55459,58482,3023,216,4,452,360
89,1,T,3,1,66031,68794,2763,2763,4,452,360
89,1,T,3,2,66031,69076,3045,23,7,287,180
89,1,T,3,3,66031,69558,3527,224,2,332,465
89,1,T,4,1,75892,78794,2902,2902,8,467,90
89,1,T,4,2,75892,79308,3416,257,1,632,495
89,1,T,4,3,75892,79729,3837,164,5,662,300
89,1,T,5,1,88349,91507,3158,3158,3,782,390
89,1,T,5,2,88349,91950,3601,186,4,452,360
89,1,T,5,3,88349,92346,3997,140,1,632,495
89,1,T,5,4,88349,93083,4734,479,7,287,180
89,1,T,6,1,100278,103474,3196,3196,6,827,210
89,1,T,6,2,100278,103970,3692,237,1,632,495
89,1,T,6,3,100278,104461,4183,233,5,662,300
89,1,T,6,4,100278,104913,4635,193,8,467,90
89,1,T,7,1,113088,117852,4764,4764,5,662,300
89,1,T,7,2,113088,118309,5221,200,2,332,465
89,1,T,7,3,113088,118988,5900,420,1,632,495
89,1,T,7,4,113088,119454,6366,207,8,467,90
89,1,T,7,5,113088,120054,6966,342,6,827,210
89,1,T,8,1,128191,132342,4151,4151,4,452,360
89,1,T,8,2,128191,132752,4561,152,2,332,465
89,1,T,8,3,128191,133250,5059,240,7,287,180
89,1,T,8,4,128191,133740,5549,232,1,632,495
89,1,T,8,5,128191,134116,5925,119,3,782,390
89,1,T,9,1,143261,147862,4601,4601,3,782,390
89,1,T,9,2,143261,148401,5140,281,9,647,120
89,1,T,9,3,143261,149758,6497,1100,4,452,360
89,1,T,9,4,143261,150254,6993,239,2,332,465
89,1,T,9,5,143261,150745,7484,233,7,287,180
89,1,T,10,1,160453,165767,5314,5314,3,782,390
89,1,T,10,2,160453,166298,5845,274,2,332,465
89,1,T,10,3,160453,166783,6330,227,7,287,180
89,1,T,10,4,160453,167261,6808,220,9,647,120
89,1,T,10,5,160453,167738,7285,218,4,452,360
