subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
89,1,P,-1,13140,3,135,135,3,0,1,6286
89,1,P,-2,24974,3,248,248,3,0,1,5079
89,1,P,-3,35593,3,679,679,3,0,1,4874
89,1,T,1,46280,2,85,85,2,0,1,4631
89,1,T,2,55459,2,64,64,2,0,1,5022
89,1,T,3,66031,3,472,472,3,0,1,4305
89,1,T,4,75892,3,815,815,3,0,1,5898
89,1,T,5,88349,4,3417,3417,4,0,1,5373
89,1,T,6,100278,4,6158,6158,4,0,1,5248
89,1,T,7,113088,5,52186,52186,5,0,1,7538
89,1,T,8,128191,5,42731,42713,3,2,0,6501
89,1,T,9,143261,6,392487,39427,2,4,0,8626
89,1,T,10,160453,6,378294,32794,1,5,0,7927
