subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
120,1,P,-1,11091,3,135,135,3,0,1,4873
120,1,P,-2,21511,3,248,248,3,0,1,6038
120,1,P,-3,33099,3,679,679,3,0,1,5993
120,1,T,1,45203,2,85,85,2,0,1,5770
120,1,T,2,55519,2,64,64,2,0,1,4947
120,1,T,3,66017,3,472,472,3,0,1,6718
120,1,T,4,78291,3,815,815,3,0,1,6627
120,1,T,5,91480,4,3417,3417,4,0,1,8437
120,1,T,6,106475,4,6158,6158,4,0,1,7331
120,1,T,7,121368,5,52186,51286,3,2,0,11079
120,1,T,8,140007,5,42731,7246,1,4,0,12211
