subnum,direction,type,trialnum,order,trialstart,itemstart,itemend,abstime,rt,posx,posy
58,1,P,-1,1,10569,21534,10965,10965,5,662,300
58,1,P,-1,2,10569,22791,12222,998,7,287,180
58,1,P,-2,1,31338,46794,15456,15455,2,332,465
58,1,P,-2,2,31338,47352,16014,300,4,452,360
58,1,P,-2,3,31338,48040,16702,430,8,467,90
58,1,P,-3,1,54447,57477,3030,3030,6,827,210
58,1,P,-3,2,54447,58996,4549,1261,7,287,180
58,1,P,-3,3,54447,61462,7015,2208,9,647,120
58,1,T,1,1,68077,73280,5203,5203,8,467,90
58,1,T,1,2,68077,75189,7112,1650,3,782,390
58,1,T,2,1,80552,82779,2227,2227,6,827,210
58,1,T,2,2,80552,83864,3312,827,4,452,360
58,1,T,3,1,90374,92394,2020,2020,4,452,360
58,1,T,3,2,90374,93421,3047,768,7,287,180
58,1,T,3,3,90374,94484,4110,805,2,332,465
58,1,T,4,1,100956,104522,3566,3566,8,467,90
58,1,T,4,2,100956,105896,4940,1116,1,632,495
58,1,T,4,3,100956,107099,6143,944,5,662,300
58,1,T,5,1,114439,116798,2359,2359,3,782,390
58,1,T,5,2,114439,118457,4018,1400,1,632,495
58,1,T,5,3,114439,119701,5262,986,4,452,360
58,1,T,5,4,114439,120715,6276,756,7,287,180
58,1,T,6,1,128249,130402,2153,2153,6,827,210
58,1,T,6,2,128249,131581,3332,920,5,662,300
58,1,T,6,3,128249,132614,4365,774,1,632,495
58,1,T,6,4,128249,134686,6437,1813,8,467,90
