subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
102,1,P,-1,8244,3,135,135,3,0,1,7309
102,1,P,-2,21108,3,248,248,3,0,1,4663
102,1,P,-3,31324,3,679,679,3,0,1,4877
102,1,T,1,41728,2,85,85,2,0,1,4921
102,1,T,2,51196,2,64,64,2,0,1,10806
102,1,T,3,67553,3,472,472,3,0,1,4589
102,1,T,4,77695,3,815,815,3,0,1,5419
102,1,T,5,89670,4,3417,3417,4,0,1,5867
102,1,T,6,102097,4,6158,6158,4,0,1,5365
102,1,T,7,115023,5,52186,52186,5,0,1,10211
102,1,T,8,132795,5,42731,42731,5,0,1,14528
102,1,T,9,155893,6,392487,398724,2,4,0,15433
102,1,T,10,179894,6,378294,398724,3,3,0,13638
