subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
57,1,P,-1,13058,3,135,135,3,0,1,10583
57,1,P,-2,29190,3,248,248,3,0,1,7666
57,1,P,-3,42403,3,679,679,3,0,1,6128
57,1,T,1,54341,2,85,85,2,0,1,7646
57,1,T,2,66534,2,64,64,2,0,1,7025
57,1,T,3,79110,3,472,472,3,0,1,7397
57,1,T,4,92061,3,815,815,3,0,1,7720
57,1,T,5,106340,4,3417,3417,4,0,1,9609
57,1,T,6,122506,4,6158,6158,4,0,1,11564
57,1,T,7,141630,5,52186,52186,5,0,1,9927
57,1,T,8,159120,5,42731,42731,5,0,1,9278
57,1,T,9,176967,6,392487,394287,4,2,0,12448
57,1,T,10,197986,6,378294,382476,1,5,0,26723
