subnum,direction,type,trialnum,order,trialstart,itemstart,itemend,abstime,rt,posx,posy
59,1,P,-1,1,12087,14825,2738,2738,1,632,495
59,1,P,-1,2,12087,15609,3522,526,3,782,390
59,1,P,-1,3,12087,16479,4392,611,5,662,300
59,1,P,-2,1,23607,27527,3920,3920,2,332,465
59,1,P,-2,2,23607,29196,5589,1410,4,452,360
59,1,P,-2,3,23607,34223,10616,4769,8,467,90
59,1,P,-3,1,40764,45641,4877,4877,6,827,210
59,1,P,-3,2,40764,47247,6483,1348,9,647,120
59,1,P,-3,3,40764,49156,8392,1651,7,287,180
59,1,T,1,1,61998,64793,2795,2795,8,467,90
59,1,T,1,2,61998,66289,4291,1238,5,662,300
59,1,T,2,1,71938,74230,2292,2292,6,827,210
59,1,T,2,2,71938,75738,3800,1250,4,452,360
59,1,T,3,1,82522,85164,2642,2642,4,452,360
59,1,T,3,2,82522,86636,4114,1215,7,287,180
59,1,T,3,3,82522,87993,5471,1098,2,332,465
59,1,T,4,1,94809,98583,3774,3774,8,467,90
59,1,T,4,2,94809,100005,5196,1163,5,662,300
59,1,T,4,3,94809,101264,6455,1001,1,632,495
59,1,T,5,1,108970,113560,4590,4590,3,782,390
59,1,T,5,2,108970,114903,5933,1084,1,632,495
59,1,T,5,3,108970,116258,7288,1097,4,452,360
59,1,T,5,4,108970,117674,8704,1158,7,287,180
59,1,T,6,1,125617,127582,1965,1965,6,827,210
59,1,T,6,2,125617,130089,4472,2249,5,662,300
59,1,T,6,3,125617,131175,5558,827,1,632,495
59,1,T,6,4,125617,133811,8194,2377,8,467,90
