subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
87,1,P,-1,11080,3,135,5135,0,4,0,18177
87,1,P,-2,34806,3,248,248,3,0,1,16629
87,1,P,-3,56981,3,679,716,0,3,0,41246
87,1,T,1,103988,2,85,85,2,0,1,4875
87,1,T,2,113412,2,64,64,2,0,1,4793
87,1,T,3,123758,3,472,472,3,0,1,5184
87,1,T,4,134497,3,815,8415,1,3,0,10863
87,1,T,5,151908,4,3417,3147,2,2,0,11643
87,1,T,6,170111,4,6158,6158,4,0,1,9504
87,1,T,7,187176,5,52186,514268,2,4,0,14088
87,1,T,8,208832,5,42731,47231,3,2,0,8127
