Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
7/19/2014, 13:22:22,-17.409937,13.483862,993.3,2448,248,-2,0,1
7/19/2014, 13:26:18,-17.409937,13.483862,993.3,0,0,0,0,1
7/19/2014, 13:26:53,-17.409946,13.483906,979.01,612,311,0,4.77, 
7/19/2014, 13:27:38,-17.409866,13.48382,977.18,900,5,0,12.74, 
7/19/2014, 13:29:23,-17.409929,13.483965,1004.39,1368,73,0,16.9, 
7/19/2014, 13:30:10,-17.410044,13.484307,1004.48,1044,118,0,38.47,1
7/19/2014, 13:31:58,-17.409946,13.484944,970.73,4068,151,0,68.46,1
7/19/2014, 13:33:47,-17.410124,13.485607,960.54,1080,106,0,73.08,1
7/19/2014, 13:35:08,-17.410318,13.485785,978.31,576,314,0,28.67,1
7/19/2014, 13:35:58,-17.410145,13.485663,982.69,1116,4,0,23.19, 
7/19/2014, 13:36:50,-17.410316,13.485736,985.98,864,181,0,20.53, 
7/19/2014, 13:37:35,-17.410227,13.485745,964.02,1404,332,0,9.94, 
7/19/2014, 13:38:13,-17.410273,13.485812,992.04,468,312,0,8.76, 
7/19/2014, 13:39:06,-17.410357,13.485894,993.86,540,123,0,12.76, 
7/19/2014, 13:39:59,-17.410192,13.485749,965.03,1008,329,-1,23.94, 
7/19/2014, 13:40:24,-17.410299,13.48583,992.07,1008,0,-1,14.68, 
7/19/2014, 13:41:17,-17.410334,13.485834,1012.12,1656,19,0,3.91, 
7/19/2014, 13:42:20,-17.410412,13.485879,1004.05,216,181,0,9.9, 
7/19/2014, 13:43:36,-17.410406,13.485842,999,3456,108,0,3.98, 
7/19/2014, 13:44:56,-17.410324,13.485931,981.72,2844,85,0,13.13, 
7/19/2014, 13:46:25,-17.409864,13.486516,981.27,4140,72,0,80.43,1
7/19/2014, 13:47:59,-17.409649,13.487186,1009.92,3204,57,0,75,1
7/19/2014, 13:49:15,-17.409334,13.487877,1018.71,3744,69,0,81.25,1
7/19/2014, 13:50:16,-17.409157,13.488319,1047.6,792,35,0,50.86,1
7/19/2014, 13:51:29,-17.410343,13.489867,1481.9,3276,75,0,210.64,1
7/19/2014, 13:52:52,-17.409645,13.489976,1417.4,3276,88,0,78.47,1
7/19/2014, 13:54:17,-17.409559,13.490634,1488.68,5832,124,0,70.47,1
7/19/2014, 13:55:47,-17.407709,13.490539,1110.92,2412,55,0,205.96,1
7/19/2014, 13:57:18,-17.407574,13.491227,1162.55,3240,89,0,74.53,1
7/19/2014, 13:58:52,-17.408516,13.492421,1473.73,4896,88,0,164.38,1
7/19/2014, 14:00:26,-17.409784,13.493789,1828.67,5220,78,0,202.35,1
7/19/2014, 14:02:03,-17.410624,13.494971,1982.73,6516,108,0,156.37,1
7/19/2014, 14:03:41,-17.41243,13.496655,2333.22,1368,66,0,268.8,1
7/19/2014, 14:05:12,-17.412153,13.497535,2311.35,3564,95,0,98.32,1
