subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
112,1,P,-1,9821,3,135,135,3,0,1,8703
112,1,P,-2,24095,3,248,248,3,0,1,7624
112,1,P,-3,37271,3,679,679,3,0,1,5655
112,1,T,1,48017,2,85,85,2,0,1,6150
112,1,T,2,58715,2,64,64,2,0,1,4711
112,1,T,3,68980,3,472,472,3,0,1,4720
112,1,T,4,79256,3,815,815,3,0,1,5420
112,1,T,5,91234,4,3417,3417,4,0,1,11124
112,1,T,6,108918,4,6158,6518,2,2,0,11269
112,1,T,7,127749,5,52186,5218,4,1,0,12257
112,1,T,8,147574,5,42731,2743,1,4,0,7083
