ID,PoO,PoO_LAT,PoO_LNG,to,to_LAT,to_LNG,PNT
18,okau,-17.3923,13.606783,epupa,-17.0021667,13.2441667,322
18,okau,-17.3923,13.606783,opuwo,-18.0539167,13.8326389,169
18,okau,-17.3923,13.606783,orotumba,-17.3417778,13.7805833,79.5
18,okau,-17.3923,13.606783,otjinungua,-17.264,12.4427222,
18,okau,-17.3923,13.606783,okanguati,-17.43125,13.2724,255.5
18,okau,-17.3923,13.606783,otjimuhaka,-17.3293611,13.8339722,79
18,okau,-17.3923,13.606783,ongokua,-16.656,13.423,3
18,okau,-17.3923,13.606783,ehomba,-17.4963889,13.8186389,101
18,okau,-17.3923,13.606783,ruacana,-17.434674,14.386568,
18,okau,-17.3923,13.606783,omangete,-17.500971,13.38364,170
19,okau,-17.3923,13.606783,epupa,-17.0021667,13.2441667,
19,okau,-17.3923,13.606783,opuwo,-18.0539167,13.8326389,165
19,okau,-17.3923,13.606783,orotumba,-17.3417778,13.7805833,81
19,okau,-17.3923,13.606783,otjinungua,-17.264,12.4427222,
19,okau,-17.3923,13.606783,okanguati,-17.43125,13.2724,265
19,okau,-17.3923,13.606783,otjimuhaka,-17.3293611,13.8339722,83.5
19,okau,-17.3923,13.606783,ongokua,-16.656,13.423,338
19,okau,-17.3923,13.606783,ehomba,-17.4963889,13.8186389,
19,okau,-17.3923,13.606783,ruacana,-17.434674,14.386568,
19,okau,-17.3923,13.606783,omangete,-17.500971,13.38364,
20,otjikondovirondo,-17.402431,13.567664,epupa,-17.0021667,13.2441667,332
20,otjikondovirondo,-17.402431,13.567664,opuwo,-18.0539167,13.8326389,180
20,otjikondovirondo,-17.402431,13.567664,orotumba,-17.3417778,13.7805833,93
20,otjikondovirondo,-17.402431,13.567664,otjinungua,-17.264,12.4427222,
20,otjikondovirondo,-17.402431,13.567664,okanguati,-17.43125,13.2724,275
20,otjikondovirondo,-17.402431,13.567664,otjimuhaka,-17.3293611,13.8339722,73
20,otjikondovirondo,-17.402431,13.567664,ongokua,-16.656,13.423,1
20,otjikondovirondo,-17.402431,13.567664,ehomba,-17.4963889,13.8186389,98
20,otjikondovirondo,-17.402431,13.567664,ruacana,-17.434674,14.386568,112
20,otjikondovirondo,-17.402431,13.567664,omangete,-17.500971,13.38364,207
21,otjikondovirondo,-17.402431,13.567664,epupa,-17.0021667,13.2441667,341
21,otjikondovirondo,-17.402431,13.567664,opuwo,-18.0539167,13.8326389,154
21,otjikondovirondo,-17.402431,13.567664,orotumba,-17.3417778,13.7805833,87
21,otjikondovirondo,-17.402431,13.567664,otjinungua,-17.264,12.4427222,
21,otjikondovirondo,-17.402431,13.567664,okanguati,-17.43125,13.2724,266
21,otjikondovirondo,-17.402431,13.567664,otjimuhaka,-17.3293611,13.8339722,80
21,otjikondovirondo,-17.402431,13.567664,ongokua,-16.656,13.423,351
21,otjikondovirondo,-17.402431,13.567664,ehomba,-17.4963889,13.8186389,120
21,otjikondovirondo,-17.402431,13.567664,ruacana,-17.434674,14.386568,92
21,otjikondovirondo,-17.402431,13.567664,omangete,-17.500971,13.38364,229
22,otjikondovirondo,-17.402431,13.567664,epupa,-17.0021667,13.2441667,315
22,otjikondovirondo,-17.402431,13.567664,opuwo,-18.0539167,13.8326389,170
22,otjikondovirondo,-17.402431,13.567664,orotumba,-17.3417778,13.7805833,70.5
22,otjikondovirondo,-17.402431,13.567664,otjinungua,-17.264,12.4427222,
22,otjikondovirondo,-17.402431,13.567664,okanguati,-17.43125,13.2724,268
22,otjikondovirondo,-17.402431,13.567664,otjimuhaka,-17.3293611,13.8339722,73
22,otjikondovirondo,-17.402431,13.567664,ongokua,-16.656,13.423,353
22,otjikondovirondo,-17.402431,13.567664,ehomba,-17.4963889,13.8186389,100.5
22,otjikondovirondo,-17.402431,13.567664,ruacana,-17.434674,14.386568,
22,otjikondovirondo,-17.402431,13.567664,omangete,-17.500971,13.38364,244
23,otjikondovirondo,-17.402431,13.567664,epupa,-17.0021667,13.2441667,326.5
23,otjikondovirondo,-17.402431,13.567664,opuwo,-18.0539167,13.8326389,168.5
23,otjikondovirondo,-17.402431,13.567664,orotumba,-17.3417778,13.7805833,82
23,otjikondovirondo,-17.402431,13.567664,otjinungua,-17.264,12.4427222,
23,otjikondovirondo,-17.402431,13.567664,okanguati,-17.43125,13.2724,259.5
23,otjikondovirondo,-17.402431,13.567664,otjimuhaka,-17.3293611,13.8339722,80
23,otjikondovirondo,-17.402431,13.567664,ongokua,-16.656,13.423,338
23,otjikondovirondo,-17.402431,13.567664,ehomba,-17.4963889,13.8186389,116
23,otjikondovirondo,-17.402431,13.567664,ruacana,-17.434674,14.386568,
23,otjikondovirondo,-17.402431,13.567664,omangete,-17.500971,13.38364,242
