subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
49,1,P,-1,10036,3,135,135,3,0,1,14540
49,1,P,-2,30126,3,248,248,3,0,1,19649
49,1,P,-3,55325,3,679,679,3,0,1,23836
49,1,T,1,84966,2,85,85,2,0,1,7697
49,1,T,2,97210,2,64,64,2,0,1,5017
49,1,T,3,107776,3,472,472,3,0,1,9123
49,1,T,4,122451,3,815,815,3,0,1,9204
49,1,T,5,138214,4,3417,3417,4,0,1,8849
49,1,T,6,153621,4,6158,6518,2,2,0,10153
49,1,T,7,171336,5,52186,52186,5,0,1,12128
49,1,T,8,191030,5,42731,42731,5,0,1,12663
49,1,T,9,212261,6,392487,39428,3,3,0,19977
49,1,T,10,240808,6,378294,387294,4,2,0,13186
