subnum,direction,type,trialnum,order,trialstart,itemstart,itemend,abstime,rt,posx,posy
107,1,P,-1,1,8275,14673,6398,6398,1,632,495
107,1,P,-1,2,8275,15151,6876,222,3,782,390
107,1,P,-1,3,8275,15556,7281,146,5,662,300
107,1,P,-2,1,22332,26518,4186,4186,2,332,465
107,1,P,-2,2,22332,27037,4705,263,4,452,360
107,1,P,-2,3,22332,27480,5148,184,8,467,90
107,1,P,-3,1,33717,39445,5728,5728,7,287,180
107,1,P,-3,2,33717,39970,6253,269,9,647,120
107,1,T,1,1,46496,49529,3033,3033,8,467,90
107,1,T,1,2,46496,50007,3511,222,5,662,300
107,1,T,2,1,55116,57627,2511,2511,6,827,210
107,1,T,2,2,55116,58122,3006,238,4,452,360
107,1,T,3,1,64204,77882,13678,13678,4,452,360
107,1,T,3,2,64204,78312,14108,172,7,287,180
107,1,T,3,3,64204,78836,14632,265,2,332,465
107,1,T,4,1,85082,89761,4679,4679,8,467,90
107,1,T,4,2,85082,90272,5190,253,5,662,300
107,1,T,4,3,85082,90726,5644,195,1,632,495
107,1,T,5,1,97751,103365,5614,5614,7,287,180
107,1,T,5,2,97751,103986,6235,362,1,632,495
107,1,T,5,3,97751,104474,6723,229,3,782,390
107,1,T,5,4,97751,106075,8324,1343,4,452,360
107,1,T,6,1,115034,119781,4747,4747,6,827,210
107,1,T,6,2,115034,120286,5252,247,1,632,495
107,1,T,6,3,115034,120784,5750,239,8,467,90
