subnum,direction,type,trialnum,order,trialstart,itemstart,itemend,abstime,rt,posx,posy
62,1,P,-1,1,11482,14559,3077,3077,1,632,495
62,1,P,-1,2,11482,20327,8845,5510,3,782,390
62,1,P,-1,3,11482,23268,11786,2683,7,287,180
62,1,P,-2,1,30416,33775,3359,3359,2,332,465
62,1,P,-2,2,30416,36939,6523,2907,4,452,360
62,1,P,-2,3,30416,39394,8978,2197,8,467,90
62,1,P,-3,1,46407,50384,3977,3977,6,827,210
62,1,P,-3,2,46407,56287,9880,5645,4,452,360
62,1,P,-3,3,46407,59561,13154,3015,9,647,120
62,1,T,1,1,67356,70392,3036,3036,8,467,90
62,1,T,1,2,67356,76153,8797,5503,5,662,300
62,1,T,2,1,82051,85346,3295,3295,6,827,210
62,1,T,2,2,82051,87204,5153,1600,4,452,360
62,1,T,3,1,93878,96418,2540,2540,4,452,360
62,1,T,3,2,93878,99256,5378,2579,6,827,210
62,1,T,3,3,93878,101609,7731,2095,7,287,180
62,1,T,4,1,109561,112706,3145,3145,8,467,90
62,1,T,4,2,109561,114694,5133,1729,1,632,495
62,1,T,4,3,109561,116988,7427,2035,9,647,120
