subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
90,1,P,-1,7400,3,135,135,3,0,1,4236
90,1,P,-2,17184,3,248,248,3,0,1,7408
90,1,P,-3,30142,3,679,679,3,0,1,4705
90,1,T,1,40720,2,85,85,2,0,1,3537
90,1,T,2,48801,2,64,64,2,0,1,6474
90,1,T,3,60831,3,472,472,3,0,1,5232
90,1,T,4,71612,3,815,815,3,0,1,3740
90,1,T,5,81912,4,3417,3417,4,0,1,5405
90,1,T,6,93877,4,6158,6518,2,2,0,7016
90,1,T,7,108458,5,52186,52186,5,0,1,7491
90,1,T,8,123516,5,42731,42753,3,2,0,8564
90,1,T,9,140647,6,392487,39427,2,4,0,12155
90,1,T,10,161375,6,378294,32794,1,5,0,8670
