subnum,direction,type,trialnum,order,trialstart,itemstart,itemend,abstime,rt,posx,posy
118,1,P,-1,1,8646,11909,3263,3263,1,632,495
118,1,P,-1,2,8646,16878,8232,4712,3,782,390
118,1,P,-1,3,8646,18742,10096,1606,5,662,300
118,1,P,-2,1,27447,31311,3864,3864,2,332,465
118,1,P,-2,2,27447,32980,5533,1412,4,452,360
118,1,P,-2,3,27447,36189,8742,2951,8,467,90
118,1,P,-3,1,42733,64484,21751,21751,2,332,465
118,1,P,-3,2,42733,67513,24780,2773,4,452,360
118,1,P,-3,3,42733,72299,29566,4527,8,467,90
118,1,T,1,1,79755,85742,5987,5987,2,332,465
118,1,T,1,2,79755,93980,14225,7980,8,467,90
118,1,T,1,3,79755,95937,16182,1699,5,662,300
118,1,T,2,1,101725,104042,2317,2317,6,827,210
118,1,T,2,2,101725,105509,3784,1208,4,452,360
118,1,T,3,1,111964,113957,1993,1993,4,452,360
118,1,T,3,2,111964,115488,3524,1273,7,287,180
118,1,T,3,3,111964,116687,4723,941,2,332,465
118,1,T,4,1,123092,125385,2293,2293,8,467,90
118,1,T,4,2,123092,126822,3730,1179,1,632,495
118,1,T,4,3,123092,127985,4893,905,5,662,300
118,1,T,5,1,135256,141730,6474,6474,3,782,390
118,1,T,5,2,135256,148232,12976,6246,2,332,465
118,1,T,5,3,135256,151620,16364,3130,4,452,360
118,1,T,5,4,135256,152501,17245,623,7,287,180
118,1,T,6,1,160141,162551,2410,2409,6,827,210
118,1,T,6,2,160141,163877,3736,1068,5,662,300
118,1,T,6,3,160141,166717,6576,2581,1,632,495
118,1,T,6,4,160141,167974,7833,999,7,287,180
