subnum,direction,type,trialnum,order,trialstart,itemstart,itemend,abstime,rt,posx,posy
50,1,P,-1,1,10460,27614,17154,17154,7,287,180
50,1,P,-2,1,58645,65517,6872,6872,2,332,465
50,1,P,-2,2,58645,66557,7912,781,4,452,360
50,1,P,-2,3,58645,67695,9050,880,8,467,90
50,1,P,-3,1,76122,78792,2670,2670,6,827,210
50,1,P,-3,2,76122,79903,3781,853,7,287,180
50,1,P,-3,3,76122,80821,4699,660,9,647,120
50,1,T,1,1,90598,99523,8925,8925,8,467,90
50,1,T,1,2,90598,103466,12868,3685,5,662,300
50,1,T,2,1,109852,113132,3280,3280,6,827,210
50,1,T,2,2,109852,115091,5239,1701,4,452,360
50,1,T,3,1,122197,124654,2457,2457,4,452,360
50,1,T,3,2,122197,125652,3455,739,7,287,180
50,1,T,3,3,122197,126567,4370,657,2,332,465
50,1,T,4,1,133387,137427,4040,4040,8,467,90
50,1,T,4,2,133387,138950,5563,1265,1,632,495
50,1,T,4,3,133387,140034,6647,825,5,662,300
50,1,T,5,1,148063,151029,2966,2966,3,782,390
50,1,T,5,2,148063,153802,5739,2515,4,452,360
50,1,T,5,3,148063,156154,8091,2094,7,287,180
50,1,T,5,4,148063,158029,9966,1617,1,632,495
50,1,T,6,1,166394,169155,2761,2761,6,827,210
50,1,T,6,2,166394,170448,4054,1035,1,632,495
50,1,T,6,3,166394,171817,5423,1111,5,662,300
50,1,T,6,4,166394,172990,6596,915,8,467,90
50,1,T,7,1,182244,184912,2668,2668,5,662,300
50,1,T,7,2,182244,186050,3806,880,2,332,465
50,1,T,7,3,182244,187091,4847,782,1,632,495
50,1,T,7,4,182244,188151,5907,802,8,467,90
50,1,T,7,5,182244,189074,6830,665,6,827,210
50,1,T,8,1,198579,200980,2401,2401,4,452,360
50,1,T,8,2,198579,208254,9675,7015,7,287,180
50,1,T,8,3,198579,209831,11252,1319,2,332,465
50,1,T,8,4,198579,213662,15083,3572,6,827,210
50,1,T,8,5,198579,228250,29671,14330,1,632,495
50,1,T,9,1,238426,241155,2729,2729,3,782,390
50,1,T,9,2,238426,246436,8010,5023,6,827,210
50,1,T,9,3,238426,257071,18645,10377,5,662,300
50,1,T,9,4,238426,260042,21616,2713,2,332,465
50,1,T,9,5,238426,261381,22955,1081,8,467,90
50,1,T,10,1,271605,274091,2486,2486,3,782,390
50,1,T,10,2,271605,284153,12548,9804,8,467,90
50,1,T,10,3,271605,291207,19602,6796,2,332,465
50,1,T,10,4,271605,291487,19882,22,2,332,465
50,1,T,10,5,271605,295877,24272,4131,7,287,180
50,1,T,10,6,271605,300703,29098,4568,1,632,495
50,1,T,10,7,271605,309103,37498,8142,9,647,120
