subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
50,1,P,-1,10460,3,135,7,0,3,0,42637
50,1,P,-2,58645,3,248,248,3,0,1,11928
50,1,P,-3,76122,3,679,679,3,0,1,8321
50,1,T,1,90598,2,85,85,2,0,1,14707
50,1,T,2,109852,2,64,64,2,0,1,6794
50,1,T,3,122197,3,472,472,3,0,1,5638
50,1,T,4,133387,3,815,815,3,0,1,8117
50,1,T,5,148063,4,3417,3471,2,2,0,11771
50,1,T,6,166394,4,6158,6158,4,0,1,8290
50,1,T,7,182244,5,52186,52186,5,0,1,8769
50,1,T,8,198579,5,42731,47261,2,3,0,31277
50,1,T,9,238426,6,392487,36528,2,4,0,24612
50,1,T,10,271605,6,378294,3822719,2,5,0,40073
