subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
93,1,P,-1,8610,3,135,135,3,0,1,17780
93,1,P,-2,31940,3,248,248,3,0,1,6328
93,1,P,-3,43811,3,679,679,3,0,1,5596
93,1,T,1,54377,2,85,85,2,0,1,3871
93,1,T,2,62795,2,64,64,2,0,1,3361
93,1,T,3,71707,3,472,472,3,0,1,4990
93,1,T,4,82241,3,815,815,3,0,1,4577
93,1,T,5,93375,4,3417,3417,4,0,1,5781
93,1,T,6,105705,4,6158,6358,3,1,0,7528
93,1,T,7,120796,5,52186,521486,3,3,0,10646
93,1,T,8,138996,5,42731,427472,3,3,0,21556
