subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
16,1,P,-1,11061,3,135,13,2,1,0,13801
16,1,P,-2,30411,3,248,248,3,0,1,6837
16,1,P,-3,42799,3,679,679,3,0,1,6752
16,1,T,1,55362,2,85,85,2,0,1,4672
16,1,T,2,64583,2,64,64,2,0,1,3913
16,1,T,3,74051,3,472,472,3,0,1,4964
16,1,T,4,84569,3,815,815,3,0,1,5351
16,1,T,5,96481,4,3417,3417,4,0,1,6421
16,1,T,6,109462,4,6158,6538,2,2,0,7821
16,1,T,7,124849,5,52186,52186,5,0,1,5921
16,1,T,8,138334,5,42731,47239,2,3,0,7746
16,1,T,9,154651,6,392487,39427,2,4,0,13427
16,1,T,10,176651,6,378294,34792,1,5,0,7159
