subnum,direction,type,trialnum,order,trialstart,itemstart,itemend,abstime,rt,posx,posy
76,1,P,-1,1,9769,19504,9735,9735,3,782,390
76,1,P,-1,2,9769,25222,15453,5463,1,632,495
76,1,P,-1,3,9769,29933,20164,4453,5,662,300
76,1,P,-2,1,36531,42461,5930,5930,4,452,360
76,1,P,-2,2,36531,42831,6300,112,8,467,90
76,1,P,-2,3,36531,44937,8406,1848,2,332,465
76,1,P,-2,4,36531,45782,9251,587,4,452,360
76,1,P,-2,5,36531,46327,9796,287,8,467,90
76,1,P,-3,1,57583,73594,16011,16011,6,827,210
76,1,P,-3,2,57583,73930,16347,78,5,662,300
76,1,P,-3,3,57583,74504,16921,316,9,647,120
76,1,T,1,1,83341,87430,4089,4089,8,467,90
76,1,T,1,2,83341,88138,4797,452,5,662,300
76,1,T,2,1,93798,97509,3711,3711,6,827,210
76,1,T,2,2,93798,98100,4302,333,4,452,360
76,1,T,3,1,104607,108796,4189,4189,4,452,360
76,1,T,3,2,104607,109385,4778,333,7,287,180
76,1,T,3,3,104607,110158,5551,515,2,332,465
76,1,T,4,1,116451,121025,4574,4574,8,467,90
76,1,T,4,2,116451,121604,5153,323,5,662,300
76,1,T,4,3,116451,122086,5635,223,1,632,495
76,1,T,5,1,129174,136933,7759,7759,3,782,390
76,1,T,5,2,129174,137467,8293,275,4,452,360
76,1,T,5,3,129174,138164,8990,439,7,287,180
76,1,T,5,4,129174,140236,11062,1814,1,632,495
76,1,T,6,1,147317,152838,5521,5521,6,827,210
76,1,T,6,2,147317,153273,5956,177,5,662,300
76,1,T,6,3,147317,153638,6321,107,1,632,495
76,1,T,6,4,147317,153988,6671,92,8,467,90
