subnum,direction,type,trialnum,order,trialstart,itemstart,itemend,abstime,rt,posx,posy
29,1,P,-1,1,11123,21389,10266,10266,1,632,495
29,1,P,-1,2,11123,22179,11056,531,3,782,390
29,1,P,-1,3,11123,23001,11878,564,5,662,300
29,1,P,-2,1,29514,35592,6078,6078,2,332,465
29,1,P,-2,2,29514,36340,6826,490,4,452,360
29,1,P,-2,3,29514,37027,7513,428,8,467,90
29,1,P,-3,1,43582,49503,5921,5921,6,827,210
29,1,P,-3,2,43582,50273,6691,512,7,287,180
29,1,P,-3,3,43582,50862,7280,330,9,647,120
29,1,T,1,1,57734,64135,6401,6401,8,467,90
29,1,T,1,2,57734,64810,7076,417,5,662,300
29,1,T,2,1,70210,74683,4473,4473,6,827,210
29,1,T,2,2,70210,75403,5193,463,4,452,360
29,1,T,3,1,81700,86658,4958,4958,4,452,360
29,1,T,3,2,81700,87382,5682,464,7,287,180
29,1,T,3,3,81700,88096,6396,456,2,332,465
29,1,T,4,1,94521,99573,5052,5052,8,467,90
29,1,T,4,2,94521,100269,5748,438,1,632,495
29,1,T,4,3,94521,100879,6358,351,5,662,300
29,1,T,5,1,108209,124350,16141,16141,5,662,300
29,1,T,5,2,108209,125010,16801,402,3,782,390
29,1,T,5,3,108209,125745,17536,477,4,452,360
29,1,T,5,4,108209,126377,18168,373,7,287,180
29,1,T,6,1,133856,139870,6014,6014,6,827,210
29,1,T,6,2,133856,140591,6735,462,5,662,300
29,1,T,6,3,133856,141249,7393,399,1,632,495
29,1,T,6,4,133856,142016,8160,509,8,467,90
