subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
29,1,P,-1,12542,3,135,135,3,0,1,6561
29,1,P,-2,24650,3,248,248,3,0,1,9232
29,1,P,-3,39428,3,679,796,0,3,0,6301
29,1,T,1,51691,2,85,58,0,2,0,10049
29,1,T,2,66286,2,64,64,2,0,1,5088
29,1,T,3,76925,3,472,472,3,0,1,5163
29,1,T,4,87640,3,815,815,3,0,1,5435
29,1,T,5,99634,4,3417,3417,4,0,1,6870
29,1,T,6,113060,4,6158,6158,4,0,1,8912
29,1,T,7,129535,5,52186,52186,5,0,1,7403
29,1,T,8,144502,5,42731,7215,1,4,0,20836
29,1,T,9,173905,6,392487,394287,4,2,0,10113
29,1,T,10,192589,6,378294,37289,3,3,0,25351
