subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
127,1,P,-1,10991,3,135,135,3,0,1,6842
127,1,P,-2,23382,3,248,248,3,0,1,6562
127,1,P,-3,35494,3,679,679,3,0,1,6721
127,1,T,1,47467,2,85,58,0,2,0,9411
127,1,T,2,61426,2,64,64,2,0,1,5880
127,1,T,3,72859,3,472,472,3,0,1,5845
127,1,T,4,84257,3,815,815,3,0,1,5654
127,1,T,5,96465,4,3417,3417,4,0,1,8188
127,1,T,6,111208,4,6158,6518,2,2,0,6747
127,1,T,7,125517,5,52186,52186,5,0,1,7621
127,1,T,8,140701,5,42731,4723,2,3,0,9403
127,1,T,9,158673,6,392487,39427,2,4,0,9505
127,1,T,10,176744,6,378294,372894,4,2,0,8339
