subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
17,1,P,-1,11998,3,135,3,0,3,0,11455
17,1,P,-2,29002,3,248,248,3,0,1,9602
17,1,P,-3,44156,3,679,697,1,2,0,3959
17,1,T,1,61073,2,85,85,2,0,1,6772
17,1,T,2,72391,2,64,64,2,0,1,3386
17,1,T,3,81329,3,472,472,3,0,1,3925
17,1,T,4,90809,3,815,815,3,0,1,5371
17,1,T,5,102740,4,3417,3417,4,0,1,4226
17,1,T,6,113523,4,6158,6158,4,0,1,7344
17,1,T,7,128425,5,52186,52186,5,0,1,5991
17,1,T,8,141982,5,42731,42731,5,0,1,6878
17,1,T,9,157430,6,392487,394287,4,2,0,6836
17,1,T,10,172832,6,378294,378249,4,2,0,7021
