subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
45,1,P,-1,11641,3,135,135,3,0,1,21774
45,1,P,-2,38968,3,248,248,3,0,1,10451
45,1,P,-3,54971,3,679,679,3,0,1,14965
45,1,T,1,76060,2,85,85,2,0,1,13257
45,1,T,2,93865,2,64,64,2,0,1,6358
45,1,T,3,105777,3,472,472,3,0,1,6601
45,1,T,4,117931,3,815,815,3,0,1,18472
45,1,T,5,142963,4,3417,3417,4,0,1,14663
45,1,T,6,164186,4,6158,6158,4,0,1,10736
45,1,T,7,182484,5,52186,5216,3,2,0,17826
45,1,T,8,207877,5,42731,42715,3,2,0,25372
