subnum,direction,type,trialnum,order,trialstart,itemstart,itemend,abstime,rt,posx,posy
45,1,P,-1,1,11641,27682,16041,16041,1,632,495
45,1,P,-1,2,11641,28095,16454,154,3,782,390
45,1,P,-1,3,11641,28535,16894,182,5,662,300
45,1,P,-2,1,38968,42766,3798,3798,2,332,465
45,1,P,-2,2,38968,43554,4586,530,4,452,360
45,1,P,-2,3,38968,47910,8942,4098,8,467,90
45,1,P,-3,1,54971,60978,6007,6007,6,827,210
45,1,P,-3,2,54971,64640,9669,3404,7,287,180
45,1,P,-3,3,54971,66932,11961,2033,9,647,120
45,1,T,1,1,76060,80292,4232,4232,8,467,90
45,1,T,1,2,76060,85732,9672,5181,5,662,300
45,1,T,2,1,93865,96882,3017,3017,6,827,210
45,1,T,2,2,93865,98045,4180,904,4,452,360
45,1,T,3,1,105777,108500,2723,2723,4,452,360
45,1,T,3,2,105777,109990,4213,1231,7,287,180
45,1,T,3,3,105777,111059,5282,811,2,332,465
45,1,T,4,1,117931,131765,13834,13834,8,467,90
45,1,T,4,2,117931,133785,15854,1761,1,632,495
45,1,T,4,3,117931,134982,17051,938,5,662,300
45,1,T,5,1,142963,147792,4829,4829,3,782,390
45,1,T,5,2,142963,151048,8085,2998,4,452,360
45,1,T,5,3,142963,152723,9760,1417,1,632,495
45,1,T,5,4,142963,156218,13255,3236,7,287,180
45,1,T,6,1,164186,167106,2920,2920,6,827,210
45,1,T,6,2,164186,168815,4629,1451,1,632,495
45,1,T,6,3,164186,172284,8098,3209,5,662,300
45,1,T,6,4,164186,173185,8999,643,8,467,90
45,1,T,7,1,182484,188634,6150,6150,5,662,300
45,1,T,7,2,182484,191231,8747,2339,2,332,465
45,1,T,7,3,182484,194770,12286,3281,1,632,495
45,1,T,7,4,182484,196179,13695,1149,6,827,210
45,1,T,8,1,207877,211083,3206,3206,4,452,360
45,1,T,8,2,207877,213909,6032,2568,2,332,465
45,1,T,8,3,207877,215468,7591,1300,7,287,180
45,1,T,8,4,207877,217090,9213,1364,1,632,495
45,1,T,8,5,207877,231536,23659,14188,5,662,300
