subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
47,1,P,-1,9684,3,135,135,3,0,1,5693
47,1,P,-2,20926,3,248,248,3,0,1,4953
47,1,P,-3,31428,3,679,679,3,0,1,5699
47,1,T,1,42450,2,85,85,2,0,1,4164
47,1,T,2,51160,2,64,64,2,0,1,3507
47,1,T,3,60220,3,472,472,3,0,1,4589
47,1,T,4,70362,3,815,815,3,0,1,4619
47,1,T,5,81539,4,3417,3417,4,0,1,5346
47,1,T,6,93446,4,6158,6158,4,0,1,8321
47,1,T,7,109329,5,52186,52186,5,0,1,6355
47,1,T,8,123249,5,42731,42731,5,0,1,6063
47,1,T,9,137885,6,392487,32597,1,5,0,11488
47,1,T,10,157938,6,378294,37249,3,3,0,13100
