subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
121,1,P,-1,10723,3,135,5135,0,4,0,9589
121,1,P,-2,25861,3,248,248,3,0,1,5635
121,1,P,-3,37044,3,679,679,3,0,1,5944
121,1,T,1,50111,2,85,851,2,1,0,5880
121,1,T,2,60537,2,64,64,2,0,1,6803
121,1,T,3,72893,3,472,472,3,0,1,4382
121,1,T,4,82829,3,815,815,3,0,1,4711
121,1,T,5,94100,4,3417,341,3,1,0,6141
121,1,T,6,106799,4,6158,6158,4,0,1,5965
121,1,T,7,120329,5,52186,52186,5,0,1,8172
121,1,T,8,136064,5,42731,42731,5,0,1,7487
121,1,T,9,152121,6,392487,34287,2,4,0,11574
121,1,T,10,172267,6,378294,32874,2,4,0,9143
