subnum,direction,type,trialnum,order,trialstart,itemstart,itemend,abstime,rt,posx,posy
121,1,P,-1,1,10723,14693,3970,3970,5,662,300
121,1,P,-1,2,10723,18034,7311,3085,1,632,495
121,1,P,-1,3,10723,18608,7885,315,3,782,390
121,1,P,-1,4,10723,19215,8492,349,5,662,300
121,1,P,-2,1,25861,28171,2310,2310,2,332,465
121,1,P,-2,2,25861,29440,3579,1010,4,452,360
121,1,P,-2,3,25861,30315,4454,617,8,467,90
121,1,P,-3,1,37044,39384,2340,2340,6,827,210
121,1,P,-3,2,37044,40510,3466,868,7,287,180
121,1,P,-3,3,37044,41472,4428,703,9,647,120
121,1,T,1,1,50111,52264,2153,2153,8,467,90
121,1,T,1,2,50111,53501,3390,978,5,662,300
121,1,T,1,3,50111,54417,4306,657,1,632,495
121,1,T,2,1,60537,62479,1942,1942,6,827,210
121,1,T,2,2,60537,64608,4071,1870,4,452,360
121,1,T,3,1,72893,74300,1407,1407,4,452,360
121,1,T,3,2,72893,75315,2422,757,7,287,180
121,1,T,3,3,72893,76306,3413,733,2,332,465
121,1,T,4,1,82829,84410,1581,1581,8,467,90
121,1,T,4,2,82829,85526,2697,857,1,632,495
121,1,T,4,3,82829,86411,3582,626,5,662,300
121,1,T,5,1,94100,95620,1520,1520,3,782,390
121,1,T,5,2,94100,96795,2695,917,4,452,360
121,1,T,5,3,94100,97796,3696,742,1,632,495
121,1,T,6,1,106799,107969,1170,1170,6,827,210
121,1,T,6,2,106799,109472,2673,1245,1,632,495
121,1,T,6,3,106799,110805,4006,1075,5,662,300
121,1,T,6,4,106799,111646,4847,583,8,467,90
121,1,T,7,1,120329,122277,1948,1948,5,662,300
121,1,T,7,2,120329,123507,3178,972,2,332,465
121,1,T,7,3,120329,125005,4676,1240,1,632,495
121,1,T,7,4,120329,126236,5907,973,8,467,90
121,1,T,7,5,120329,126966,6637,471,6,827,210
121,1,T,8,1,136064,137086,1022,1022,4,452,360
121,1,T,8,2,136064,138343,2279,999,2,332,465
121,1,T,8,3,136064,139808,3744,1207,7,287,180
121,1,T,8,4,136064,140927,4863,861,3,782,390
121,1,T,8,5,136064,141782,5718,597,1,632,495
121,1,T,9,1,152121,153837,1716,1716,3,782,390
121,1,T,9,2,152121,157587,5466,3491,4,452,360
121,1,T,9,3,152121,158625,6504,780,2,332,465
121,1,T,9,4,152121,160251,8130,1367,8,467,90
121,1,T,9,5,152121,161806,9685,1296,7,287,180
121,1,T,10,1,172267,174669,2402,2402,3,782,390
121,1,T,10,2,172267,176003,3736,1075,2,332,465
121,1,T,10,3,172267,177224,4957,962,8,467,90
121,1,T,10,4,172267,178060,5793,578,7,287,180
121,1,T,10,5,172267,179647,7380,1329,4,452,360
