ID,PoO,PoO_LAT,PoO_LNG,to,to_LAT,to_LNG,Bearing_Indicated,Bearing_Actual,Bearing_Difference,Distance_Meters
15,okau,-17.3923,13.606783,orotumba,-17.3417778,13.7805833,70,73.18396,3.18396,19298.63
15,okau,-17.3923,13.606783,otjinungua,-17.264,12.4427222,,276.3727,,124550.1
15,okau,-17.3923,13.606783,okanguati,-17.43125,13.2724,249,263.032,14.03198,35788.93
15,okau,-17.3923,13.606783,otjimuhaka,-17.3293611,13.8339722,76,73.94188,-2.058121,25130.32
15,okau,-17.3923,13.606783,ongokua,-16.656,13.423,,346.4698,,83802.48
15,okau,-17.3923,13.606783,ehomba,-17.4963889,13.8186389,111,117.1381,6.138062,25282.81
15,okau,-17.3923,13.606783,ruacana,-17.434674,14.386568,,93.35631,,82984.38
15,okau,-17.3923,13.606783,omangete,-17.500971,13.38364,232,243.0645,11.06454,26581.13
16,okau,-17.3923,13.606783,epupa,-17.0021667,13.2441667,295,318.1695,23.16946,57897.14
16,okau,-17.3923,13.606783,opuwo,-18.0539167,13.8326389,169,161.9184,-7.081573,77045.01
16,okau,-17.3923,13.606783,orotumba,-17.3417778,13.7805833,91,73.18396,-17.81604,19298.63
16,okau,-17.3923,13.606783,otjinungua,-17.264,12.4427222,281.5,276.3727,-5.12735,124550.1
16,okau,-17.3923,13.606783,okanguati,-17.43125,13.2724,253,263.032,10.03198,35788.93
16,okau,-17.3923,13.606783,otjimuhaka,-17.3293611,13.8339722,85,73.94188,-11.05812,25130.32
16,okau,-17.3923,13.606783,ongokua,-16.656,13.423,351,346.4698,-4.530151,83802.48
16,okau,-17.3923,13.606783,ehomba,-17.4963889,13.8186389,,117.1381,,25282.81
16,okau,-17.3923,13.606783,ruacana,-17.434674,14.386568,,93.35631,,82984.38
16,okau,-17.3923,13.606783,omangete,-17.500971,13.38364,236,243.0645,7.064545,26581.13
17,okau,-17.3923,13.606783,epupa,-17.0021667,13.2441667,290,318.1695,28.16946,57897.14
17,okau,-17.3923,13.606783,opuwo,-18.0539167,13.8326389,171,161.9184,-9.081573,77045.01
17,okau,-17.3923,13.606783,orotumba,-17.3417778,13.7805833,68,73.18396,5.18396,19298.63
17,okau,-17.3923,13.606783,otjinungua,-17.264,12.4427222,264,276.3727,12.37265,124550.1
17,okau,-17.3923,13.606783,okanguati,-17.43125,13.2724,254,263.032,9.031982,35788.93
17,okau,-17.3923,13.606783,otjimuhaka,-17.3293611,13.8339722,78,73.94188,-4.058121,25130.32
17,okau,-17.3923,13.606783,ongokua,-16.656,13.423,,346.4698,,83802.48
17,okau,-17.3923,13.606783,ehomba,-17.4963889,13.8186389,121.5,117.1381,-4.361938,25282.81
17,okau,-17.3923,13.606783,ruacana,-17.434674,14.386568,,93.35631,,82984.38
17,okau,-17.3923,13.606783,omangete,-17.500971,13.38364,231,243.0645,12.06454,26581.13
18,okau,-17.3923,13.606783,epupa,-17.0021667,13.2441667,322,318.1695,-3.830536,57897.14
18,okau,-17.3923,13.606783,opuwo,-18.0539167,13.8326389,169,161.9184,-7.081573,77045.01
18,okau,-17.3923,13.606783,orotumba,-17.3417778,13.7805833,79.5,73.18396,-6.31604,19298.63
