Subject,Front,Trial,Degree,RT,Acc
12,0,2,120,19.25,1
12,0,3,0,11.03,1
12,0,4,0,5.17,0
12,0,5,180,7.6,1
12,0,6,120,2.9,0
12,0,7,300,3.58,0
12,0,8,60,13.57,1
12,0,9,60,5.81,1
12,0,10,240,4.63,1
12,0,11,300,6.82,1
12,0,12,180,9.72,1
12,1,1,180,11.62,1
12,1,2,0,5.48,1
12,1,3,180,4.33,0
12,1,4,0,4.37,0
12,1,5,240,4.01,0
12,1,6,300,4.7,0
12,1,7,60,4.03,1
12,1,8,240,4.85,1
12,1,9,120,2.82,1
12,1,10,120,4.8,0
12,1,11,300,3.35,0
12,1,12,60,3.06,1
13,0,1,180,5.68,0
13,0,2,120,5.27,0
13,0,3,180,2.82,0
13,0,4,240,4.02,1
13,0,5,60,5.63,1
13,0,6,120,3.72,1
13,0,7,300,2.55,1
13,0,8,240,3.87,0
13,0,9,300,2.9,1
13,0,10,60,2.67,1
13,0,11,0,5.4,0
13,0,12,0,5.03,1
13,1,1,240,3.51,1
13,1,2,60,2.73,0
13,1,3,120,2.82,1
13,1,4,0,4.85,0
13,1,5,240,4.05,1
13,1,6,300,3.48,0
13,1,7,180,8.49,1
13,1,8,60,2.32,0
13,1,9,180,6.03,1
13,1,10,0,4.18,0
13,1,11,120,4.31,1
13,1,12,300,2.48,0
14,0,1,240,8.39,1
14,0,2,60,3,1
14,0,3,240,2.55,1
14,0,4,120,3.7,1
14,0,5,180,8.32,1
14,0,6,180,7.1,1
14,0,7,60,2.7,1
14,0,8,300,2.5,1
14,0,9,300,2.46,1
14,0,10,0,2.82,1
14,0,11,0,2.42,1
14,0,12,120,2.45,1
14,1,1,0,9.94,1
14,1,2,300,3.17,1
14,1,3,60,2.62,1
14,1,4,300,2.67,1
14,1,5,240,4.52,1
14,1,6,120,3.17,1
14,1,7,60,2.95,1
14,1,8,180,5.28,1
14,1,9,0,2.73,1
14,1,10,180,5.02,1
14,1,11,120,2.85,1
14,1,12,240,2.82,1
15,0,1,180,4.54,1
15,0,2,300,7.37,1
15,0,3,300,2.8,1
15,0,4,60,2.26,1
15,0,5,60,2.45,1
15,0,6,120,4.85,1
15,0,7,180,7.5,1
15,0,8,0,3.02,1
15,0,9,240,4.16,1
15,0,10,0,2.16,1
15,0,11,240,5.41,1
15,0,12,120,4,1
15,1,1,120,4.83,0
15,1,2,60,5.16,1
15,1,3,300,6.25,1
15,1,4,180,8.43,1
15,1,5,120,3.72,1
15,1,6,0,2.93,1
15,1,7,240,3.12,1
15,1,8,180,4.3,1
15,1,9,0,3.62,1
15,1,10,60,4.92,1
15,1,11,300,3.68,1
15,1,12,240,2.98,1
16,0,1,120,24.18,1
16,0,2,300,10.4,0
16,0,3,120,10.88,0
16,0,4,180,33.9,0
16,0,5,0,16.23,0
16,0,6,300,27.17,1
16,0,7,240,16.45,0
16,0,8,0,13.57,1
