ID,month,day,rng,max_leg,net
88,7,14,510647.7458,1914.439169,6225.653423
88,7,15,1214165.261,3385.250817,5523.64
88,7,16,553340.085,3364.875674,6983.129693
88,7,17,899483.5069,3490.002994,11273.00434
88,7,18,4384.023645,103.3892252,326.729304
88,7,19,135.857422,16.76328247,69.824301
88,7,20,1532.930855,55.93279005,173.923276
95,7,5,12973.72657,299.5636923,361.540304
95,7,6,1278663.562,2681.122879,13262.07054
95,7,7,350964.0655,2157.727404,2665.457228
95,7,8,1790499.328,4814.470079,8795.725908
95,7,9,3865078.089,4204.507387,17469.40702
95,7,10,672261.9443,2564.593951,3197.373944
96,7,7,1358166.427,2314.381485,6199.841067
104,7,19,694725.5018,2300.247484,3781.351371
104,7,20,16597.39117,324.2621563,948.667284
104,7,21,21985.32993,491.5796746,2500.872069
105,7,19,164393.1264,1524.931794,1737.454577
105,7,20,168748.3049,990.1683237,6308.262908
105,7,21,174149.4375,994.9966906,5196.169186
105,7,22,84293.15105,427.2333836,2908.053388
105,7,23,130747.5301,1521.267274,1795.296293
107,7,19,410074.4418,1812.55814,3089.875209
107,7,20,221128.6236,838.1318727,3572.262461
107,7,21,22285.0398,324.0046736,948.585885
108,7,19,398700.9261,1273.520029,4726.984992
108,7,20,457398.4882,929.4348713,6971.20638
108,7,21,227790.8314,941.8663657,2929.791855
123,7,22,438143.5765,1538.61694,4274.680407
123,7,23,3391116.211,6065.417222,15712.60769
123,7,24,11918846,13747.40453,30378.28656
126,7,22,8748.643276,106.2160412,658.890691
126,7,23,277847.9852,706.045935,3573.937828
126,7,24,171577.8739,565.2342164,2831.692724
127,7,22,305413.3922,1497.335789,2818.780233
127,7,23,980418.4265,1590.601565,4884.717114
127,7,24,118090.3661,1574.179632,1785.979143
