subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
80,1,P,-1,9114,3,135,15,1,2,0,18770
80,1,P,-2,33457,3,248,248,3,0,1,9000
80,1,P,-3,48006,3,679,679,3,0,1,7812
80,1,T,1,61426,2,85,85,2,0,1,7361
80,1,T,2,73332,2,64,64,2,0,1,5981
80,1,T,3,84866,3,472,472,3,0,1,6249
80,1,T,4,96671,3,815,851,1,2,0,11762
80,1,T,5,114987,4,3417,3417,4,0,1,11311
80,1,T,6,132851,4,6158,6518,2,2,0,9944
80,1,T,7,150351,5,52186,52186,5,0,1,9606
80,1,T,8,167510,5,42731,42738,4,1,0,23431
80,1,T,9,199506,6,392487,35427,1,5,0,17181
80,1,T,10,225252,6,378294,342789,1,5,0,16434
