subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
35,1,P,-1,10859,3,135,153,1,2,0,8748
35,1,P,-2,25155,3,248,248,3,0,1,8708
35,1,P,-3,39409,3,679,679,3,0,1,5309
35,1,T,1,51246,2,85,85,2,0,1,5399
35,1,T,2,61192,2,64,64,2,0,1,5321
35,1,T,3,72067,3,472,472,3,0,1,5352
35,1,T,4,82969,3,815,851,1,2,0,5342
35,1,T,5,94871,4,3417,3417,4,0,1,7286
35,1,T,6,108713,4,6158,6318,2,2,0,6731
35,1,T,7,123007,5,52186,52186,5,0,1,6771
35,1,T,8,137342,5,42731,42713,3,2,0,6386
35,1,T,9,152295,6,392487,39472,2,4,0,8784
35,1,T,10,169648,6,378294,387249,2,4,0,7574
