subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
52,1,P,-1,7916,3,135,135,3,0,1,6950
52,1,P,-2,20416,3,248,248,3,0,1,4131
52,1,P,-3,30095,3,679,679,3,0,1,4238
52,1,T,1,39999,2,85,85,2,0,1,7556
52,1,T,2,52103,2,64,64,2,0,1,4650
52,1,T,3,62303,3,472,472,3,0,1,5366
52,1,T,4,73225,3,815,815,3,0,1,6152
52,1,T,5,85937,4,3417,3417,4,0,1,5552
52,1,T,6,98046,4,6158,6158,4,0,1,7719
52,1,T,7,113330,5,52186,52186,5,0,1,8976
52,1,T,8,129871,5,42731,52716,2,3,0,22603
52,1,T,9,161043,6,392487,39472,2,4,0,15842
52,1,T,10,185452,6,378294,37894,3,3,0,6922
