subnum,direction,type,trialnum,order,trialstart,itemstart,itemend,abstime,rt,posx,posy
74,1,P,-1,1,10282,13614,3332,3332,1,632,495
74,1,P,-1,2,10282,14251,3969,379,3,782,390
74,1,P,-1,3,10282,14836,4554,327,5,662,300
74,1,P,-2,1,21505,23816,2311,2311,2,332,465
74,1,P,-2,2,21505,24568,3063,494,4,452,360
74,1,P,-2,3,21505,26456,4951,1630,8,467,90
74,1,P,-3,1,33181,37264,4083,4083,6,827,210
74,1,P,-3,2,33181,38491,5310,968,7,287,180
74,1,P,-3,3,33181,39551,6370,801,9,647,120
74,1,T,1,1,47786,50970,3184,3184,8,467,90
74,1,T,1,2,47786,51761,3975,533,5,662,300
74,1,T,2,1,57350,59978,2628,2628,6,827,210
74,1,T,2,2,57350,60676,3326,439,4,452,360
74,1,T,3,1,69024,71854,2830,2830,4,452,360
74,1,T,3,2,69024,72622,3598,509,7,287,180
74,1,T,3,3,69024,73469,4445,589,2,332,465
74,1,T,4,1,79943,83790,3847,3847,8,467,90
74,1,T,4,2,79943,84675,4732,626,1,632,495
74,1,T,4,3,79943,85108,5165,175,5,662,300
74,1,T,5,1,92677,95765,3088,3088,3,782,390
74,1,T,5,2,92677,96237,3560,214,1,632,495
74,1,T,5,3,92677,96763,4086,268,4,452,360
74,1,T,5,4,92677,97264,4587,243,7,287,180
74,1,T,6,1,106934,109956,3022,3022,6,827,210
74,1,T,6,2,106934,110468,3534,253,5,662,300
74,1,T,6,3,106934,111119,4185,393,1,632,495
74,1,T,6,4,106934,111899,4965,521,8,467,90
