subnum,direction,type,trialnum,order,trialstart,itemstart,itemend,abstime,rt,posx,posy
30,1,P,-1,1,11219,15904,4685,4685,1,632,495
30,1,P,-1,2,11219,18757,7538,2594,1,632,495
30,1,P,-1,3,11219,21398,10179,2383,3,782,390
30,1,P,-1,4,11219,22729,11510,1072,5,662,300
30,1,P,-2,1,29551,31888,2337,2337,2,332,465
30,1,P,-2,2,29551,33023,3472,877,4,452,360
30,1,P,-2,3,29551,37571,8020,4289,8,467,90
30,1,P,-3,1,44225,47184,2959,2959,6,827,210
30,1,P,-3,2,44225,48361,4136,918,7,287,180
30,1,P,-3,3,44225,49389,5164,769,9,647,120
30,1,T,1,1,56130,62492,6362,6362,8,467,90
30,1,T,1,2,56130,64308,8178,1558,5,662,300
30,1,T,2,1,70139,72937,2798,2798,6,827,210
30,1,T,2,2,70139,74005,3866,809,4,452,360
30,1,T,3,1,80954,83259,2305,2305,4,452,360
30,1,T,3,2,80954,84501,3547,983,7,287,180
30,1,T,3,3,80954,85673,4719,914,2,332,465
30,1,T,4,1,93513,95502,1989,1989,1,632,495
30,1,T,4,2,93513,97141,3628,1380,5,662,300
30,1,T,5,1,105484,107781,2297,2297,3,782,390
30,1,T,5,2,105484,109907,4423,1868,4,452,360
30,1,T,5,3,105484,110925,5441,760,1,632,495
30,1,T,5,4,105484,111847,6363,664,7,287,180
30,1,T,6,1,119676,121595,1919,1919,6,827,210
30,1,T,6,2,119676,122662,2986,809,1,632,495
30,1,T,6,3,119676,123711,4035,790,5,662,300
30,1,T,6,4,119676,125829,6153,1859,8,467,90
30,1,T,7,1,134450,135898,1448,1448,5,662,300
30,1,T,7,2,134450,136823,2373,667,2,332,465
30,1,T,7,3,134450,137714,3264,633,1,632,495
30,1,T,7,4,134450,138649,4199,677,8,467,90
30,1,T,7,5,134450,139584,5134,676,6,827,210
30,1,T,8,1,148456,150366,1910,1910,4,452,360
30,1,T,8,2,148456,151385,2929,760,2,332,465
30,1,T,8,3,148456,152229,3773,586,7,287,180
30,1,T,8,4,148456,153300,4844,813,1,632,495
30,1,T,8,5,148456,154259,5803,701,3,782,390
30,1,T,9,1,163940,166118,2178,2178,3,782,390
30,1,T,9,2,163940,168346,4406,1970,5,662,300
30,1,T,9,3,163940,169791,5851,1187,4,452,360
30,1,T,9,4,163940,170601,6661,551,2,332,465
30,1,T,9,5,163940,173761,9821,2902,7,287,180
30,1,T,9,6,163940,174807,10867,787,8,467,90
30,1,T,10,1,184365,186638,2273,2273,3,782,390
30,1,T,10,2,184365,187580,3215,684,7,287,180
30,1,T,10,3,184365,188545,4180,706,2,332,465
30,1,T,10,4,184365,191934,7569,3131,8,467,90
30,1,T,10,5,184365,193577,9212,1385,9,647,120
30,1,T,10,6,184365,194975,10610,1140,4,452,360
