subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
122,1,P,-1,10393,3,135,135,3,0,1,5602
122,1,P,-2,21545,3,248,248,3,0,1,3648
122,1,P,-3,30742,3,679,679,3,0,1,7658
122,1,T,1,44690,2,85,85,2,0,1,6325
122,1,T,2,55563,2,64,64,2,0,1,4410
122,1,T,3,65527,3,472,472,3,0,1,4066
122,1,T,4,75145,3,815,815,3,0,1,4474
122,1,T,5,86180,4,3417,3417,4,0,1,6060
122,1,T,6,98797,4,6158,6158,4,0,1,10181
122,1,T,7,116542,5,52186,5128,2,3,0,11184
122,1,T,8,135293,5,42731,2731,0,5,0,8146
