subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
27,1,P,-1,13445,3,135,13,2,1,0,16374
27,1,P,-2,35403,3,248,248,3,0,1,5935
27,1,P,-3,46887,3,679,679,3,0,1,7250
27,1,T,1,60005,2,85,85,2,0,1,5459
27,1,T,2,70010,2,64,64,2,0,1,5108
27,1,T,3,80671,3,472,472,3,0,1,5732
27,1,T,4,91958,3,815,815,3,0,1,6177
27,1,T,5,104692,4,3417,3417,4,0,1,7876
27,1,T,6,119127,4,6158,6158,4,0,1,7733
27,1,T,7,134423,5,52186,52186,5,0,1,8964
27,1,T,8,150950,5,42731,4273,4,1,0,10793
27,1,T,9,170310,6,392487,93427,0,6,0,10116
27,1,T,10,188993,6,378294,32478,1,5,0,12993
