subnum,direction,type,trialnum,order,trialstart,itemstart,itemend,abstime,rt,posx,posy
96,1,P,-1,1,11084,13099,2015,2015,1,632,495
96,1,P,-1,2,11084,15451,4367,2094,3,782,390
96,1,P,-1,3,11084,16117,5033,408,5,662,300
96,1,P,-2,1,28699,32417,3718,3718,2,332,465
96,1,P,-2,2,28699,32739,4040,66,4,452,360
96,1,P,-2,3,28699,33235,4536,239,8,467,90
96,1,P,-3,1,40434,45069,4635,4635,7,287,180
96,1,P,-3,2,40434,45695,5261,371,9,647,120
96,1,T,1,1,55510,58437,2927,2927,8,467,90
96,1,T,1,2,55510,59076,3566,382,5,662,300
96,1,T,2,1,64351,67194,2843,2842,6,827,210
96,1,T,2,2,64351,67801,3450,349,4,452,360
96,1,T,3,1,75779,79022,3243,3243,4,452,360
96,1,T,3,2,75779,79649,3870,369,7,287,180
96,1,T,3,3,75779,80283,4504,375,2,332,465
96,1,T,4,1,87719,90866,3147,3146,8,467,90
96,1,T,4,2,87719,91748,4029,625,1,632,495
96,1,T,4,3,87719,92243,4524,237,5,662,300
96,1,T,5,1,99490,103325,3835,3835,3,782,390
96,1,T,5,2,99490,103831,4341,247,4,452,360
96,1,T,5,3,99490,104342,4852,254,1,632,495
96,1,T,5,4,99490,105085,5595,485,7,287,180
96,1,T,6,1,113831,117999,4168,4168,1,632,495
96,1,T,6,2,113831,118571,4740,315,6,827,210
96,1,T,6,3,113831,119047,5216,218,8,467,90
96,1,T,7,1,127402,132998,5596,5596,2,332,465
96,1,T,8,1,151578,163815,12237,12237,4,452,360
96,1,T,8,2,151578,164288,12710,215,2,332,465
96,1,T,8,3,151578,164955,13377,409,7,287,180
96,1,T,8,4,151578,165684,14106,471,3,782,390
96,1,T,8,5,151578,166038,14460,98,5,662,300
