subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
53,1,P,-1,10612,3,135,135,3,0,1,36702
53,1,P,-2,52863,3,248,248,3,0,1,15263
53,1,P,-3,73674,3,679,679,3,0,1,12762
53,1,T,1,92035,2,85,85,2,0,1,10433
53,1,T,2,107014,2,64,64,2,0,1,6160
53,1,T,3,118728,3,472,472,3,0,1,8914
53,1,T,4,133199,3,815,815,3,0,1,9647
53,1,T,5,149402,4,3417,3574,1,3,0,23895
53,1,T,6,179855,4,6158,6158,4,0,1,16209
53,1,T,7,203626,5,52186,54286,3,2,0,26667
53,1,T,8,237856,5,42731,4273,4,1,0,16355
