subnum,direction,type,trialnum,trialstart,length,stim,resp,numcorr,nummiss,allcorr,time
105,1,P,-1,9016,3,135,135,3,0,1,9294
105,1,P,-2,23858,3,248,248,3,0,1,6528
105,1,P,-3,35935,3,679,679,3,0,1,8811
105,1,T,1,60184,2,85,85,2,0,1,6282
105,1,T,2,71010,2,64,64,2,0,1,6627
105,1,T,3,83189,3,472,7472,0,4,0,11773
105,1,T,4,100520,3,815,815,3,0,1,7314
105,1,T,5,114392,4,3417,3417,4,0,1,8079
105,1,T,6,129028,4,6158,6158,4,0,1,7732
105,1,T,7,144321,5,52186,52186,5,0,1,10181
105,1,T,8,162065,5,42731,47216,1,4,0,21515
105,1,T,9,192148,6,392487,395827,3,3,0,15129
105,1,T,10,215841,6,378294,378241,4,2,0,27028
